,District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
69,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-10
70,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-11
71,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-12
72,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-13
73,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-14
74,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-15
75,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-16
76,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-17
77,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-18
78,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-19
79,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-20
80,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-21
81,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-22
82,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-23
83,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-24
84,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-25
85,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-26
86,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-27
87,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-28
88,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-29
89,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-03-30
90,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-03-31
91,Bangalore,Bangalore,Wheat,Bansi,FAQ,1300.0,1540.0,1420.0,2008-04-01
92,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-02
93,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-03
94,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-04
95,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-05
96,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-06
97,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-07
98,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1525.0,2008-04-08
99,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-09
100,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-10
101,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-11
102,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-12
103,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-13
104,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-14
105,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-15
106,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-16
107,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-17
108,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-18
109,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-19
110,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-20
111,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-21
112,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-22
113,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-23
114,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-24
115,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-25
116,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-26
